loading R objects and creating graphs with rscript,1,84,0,[],30/08/12,16:31:06Z,user1471980,"3,838",,,,,,,,
Is there a difference between the R functions fitted() and predict()?,38,"31,060",2,[],30/08/12,16:29:28Z,N Brouwer,"1,588",,,,,,,,
What are good ways to preset plotting options for ggplot in R,7,"1,110",4,['ggplot2'],30/08/12,16:12:41Z,count0,"1,924",,,,,,,,
Is there an easy way of replicating a list of installed CRAN packages (with the exact versions)?,5,217,1,['package'],30/08/12,16:12:17Z,Christian Hudon,"1,245",,,,,,,,
R curve() on expression involving vector,1,"2,370",2,"['vectorization', 'curve']",30/08/12,15:08:50Z,maja,456,,,,,,,,
Overlapped density plots in ggplot2,6,"13,691",3,['ggplot2'],30/08/12,15:03:58Z,rmflight,559,,,,,,,,
Using different metric for hclust linkage?,2,"2,971",3,['cluster-analysis'],30/08/12,13:33:42Z,Carlito,13,,,,,,,,
ggplot2 facet_grid arrange panels,9,"10,628",1,"['layout', 'ggplot2']",30/08/12,12:59:57Z,user969113,910,,,,,,,,
Significance level added to matrix correlation heatmap using ggplot2,24,"14,412",2,"['ggplot2', 'correlation', 'heatmap', 'significance']",30/08/12,12:22:25Z,doctorate,759,,,,,,,,
Generally disable dimension dropping for matrices?,25,"1,309",1,['matrix'],30/08/12,12:20:29Z,Wolfgang Pößnecker,286,,,,,,,,
ggplot - change line width,9,"24,385",2,['ggplot2'],30/08/12,12:09:22Z,Mark Graph,"1,967",,,,,,,,
How to name sections on x axis that are separated by vertical lines in an R plot (package ggplot2)?,5,"1,140",1,"['ggplot2', 'stacked-area-chart']",30/08/12,12:08:39Z,Matthias Munz,"1,571",,,,,,,,
Extract feature coordinates from SpatialPolygons and other sp classes,14,"7,132",1,"['class', 'ggplot2', 'spatial']",30/08/12,12:03:55Z,Roman Luštrik,49k,,,,,,,,
How to write trycatch in R,239,"1,54,955",4,"['exception', 'exception-handling', 'try-catch', 'r-faq']",30/08/12,09:27:17Z,Dd Pp,"1,462",,,,,,,,
error in t test in R,1,204,0,[],30/08/12,08:32:47Z,Stacey John,66,,,,,,,,
Overlaying SpatialLines by SpatialPolygons in R,2,568,2,['spatial'],30/08/12,08:29:42Z,Diah Daniaty,13,,,,,,,,
Different colours for different facet_grids,4,"7,331",1,"['colors', 'ggplot2']",30/08/12,08:24:39Z,user969113,910,,,,,,,,
"R scatter plots for above 1,000 unique parameters",1,223,1,"['loops', 'scatter-plot']",30/08/12,08:02:45Z,user1632915,6,,,,,,,,
R: Multinomial Logistic Regression with a subset of observations (Panel Data),0,"1,053",1,['regression'],30/08/12,07:19:06Z,comendator,3,,,,,,,,
Conditional lapply,0,"2,384",2,"['list', 'function', 'dataframe', 'lapply']",30/08/12,06:45:20Z,dmvianna,"6,526",,,,,,,,
Selecting top finite number of rows for each unique value of a column in a data fame in R,0,911,2,[],30/08/12,06:41:01Z,Kunal Batra,286,,,,,,,,
Finding the boundary points in a raster data file,1,"1,114",1,"['raster', 'google-static-maps', 'ggmap']",30/08/12,05:05:25Z,Aquarius_Girl,"6,889",,,,,,,,
tm package in R hangs with small dataset,-5,297,1,['tm'],30/08/12,04:37:00Z,dasman,62,,,,,,,,
Slicing R arrays by index pair,2,"1,184",2,"['arrays', 'slice']",30/08/12,03:55:41Z,Mitch,90,,,,,,,,
Error in continuous_scale using R and ggplot2,2,"2,390",2,['ggplot2'],30/08/12,02:27:11Z,Nyxynyx,19.4k,,,,,,,,
How to find average of a col1 grouping by col2 [duplicate],-5,182,1,"['group-by', 'average', 'mean']",30/08/12,01:06:53Z,Teja,"7,320",,,,,,,,
Cleaning `Inf` values from an R dataframe,77,"73,486",6,"['dataframe', 'data.table']",30/08/12,00:58:30Z,ricardo,"3,748",,,,,,,,
R Combine mapply and sapply,0,208,2,"['list', 'sapply']",30/08/12,00:45:33Z,user1357015,"3,643",,,,,,,,
Build data.frame to set names?,1,"1,307",2,[],29/08/12,23:36:58Z,Dd Pp,"1,462",,,,,,,,
How to get top n companies from a data frame in decreasing order,9,"35,225",4,"['sorting', 'plyr', 'top-n']",29/08/12,23:27:30Z,Teja,"7,320",,,,,,,,
"How can I stream data, on my Mac, from a bluetooth source using R?",0,345,1,"['python', 'macos', 'bluetooth']",29/08/12,23:16:43Z,rezakhorshidi,490,,,,,,,,
twitter followers connectedness R Python,1,231,0,"['twitter', 'igraph', 'sna']",29/08/12,22:42:15Z,fioghual,419,,,,,,,,
How to retrieve the most repeated value in a column present in a data frame,5,"15,261",4,"['dataframe', 'max']",29/08/12,22:06:46Z,Teja,"7,320",,,,,,,,
autokrige and proj4string,0,"2,111",1,"['spatial-interpolation', 'automap']",29/08/12,21:52:43Z,user1634468,3,,,,,,,,
Writing the data frame to MySql DB table,10,"21,748",3,['mysql'],29/08/12,21:32:39Z,pandhale,79,,,,,,,,
"Transform color scale, but keep a nice legend with ggplot2",13,"1,423",1,['ggplot2'],29/08/12,21:32:02Z,isDotR,476,,,,,,,,
RODBC sqlQuery() returning error messages on successful execution,1,"1,544",0,['rodbc'],29/08/12,21:31:01Z,Andrew Sannier,477,,,,,,,,
How to remove trailing spaces in write.table in R,1,"2,320",4,['file-io'],29/08/12,20:21:05Z,by0,"5,418",,,,,,,,
objects as integral bounds,0,50,1,[],29/08/12,20:15:36Z,Doug,334,,,,,,,,
Automating definition of tables and columns creating an RDBMS from a stats package like SPSS,0,132,2,"['sql', 'rdbms', 'spss']",29/08/12,19:48:41Z,Peter Ellis,"3,237",,,,,,,,
How to calculate median of profits for a particular country,0,610,3,['median'],29/08/12,19:39:58Z,Teja,"7,320",,,,,,,,
sapply? tapply? ddply? dataframe variable based on rolling index of previous values of another variable,2,799,1,[],29/08/12,19:37:12Z,Daniel Egan,323,,,,,,,,
Writing csv file: error message when using knitr/chunks,0,412,0,['knitr'],29/08/12,18:35:40Z,Gerit,110,,,,,,,,
Logistic Regression : not actual out put with predict function,0,"6,504",3,"['regression', 'predict']",29/08/12,18:35:25Z,Vignesh Prajapati,"1,308",,,,,,,,
"How to submit an R script to a job scheduler: bash, compiler, Rscript, or other?",2,"1,094",2,"['compiler-construction', 'rscript']",29/08/12,17:41:08Z,David LeBauer,15.7k,,,,,,,,
Calculate min/max slope of loess fitted curve with R?,4,"4,788",2,"['ggplot2', 'curve-fitting']",29/08/12,17:11:02Z,Hendy,"4,013",,,,,,,,
How can correlate against multiple columns using ddply?,0,"3,124",5,"['plyr', 'correlation']",29/08/12,16:06:59Z,LCricket,3,,,,,,,,
Subset data frame for rows equal to one value but the other,1,"4,313",2,[],29/08/12,16:03:38Z,Rock,"1,075",,,,,,,,
R function of returning all the outputs not the last one,0,173,2,"['function', 'dataframe']",29/08/12,15:53:41Z,lamushidi,78,,,,,,,,
Character “|” in strsplit function (vertical bar / pipe),4,"1,255",1,[],29/08/12,15:01:08Z,Dd Pp,"1,462",,,,,,,,
Character “|” in strsplit function (vertical bar / pipe),4,"1,255",1,[],29/08/12,15:01:08Z,Dd Pp,"1,462",,,,,,,,
Plot of a linear regression with interactions,4,"2,472",1,"['regression', 'interaction']",29/08/12,14:57:01Z,L_T,121,,,,,,,,
Flipping Beta values in R,0,96,1,"['generics', 'beta']",29/08/12,14:53:40Z,mfk534,347,,,,,,,,
Using geom_line with multiple groupings,15,"26,417",2,"['ggplot2', 'grouping']",29/08/12,14:39:47Z,MattLBeck,"3,086",,,,,,,,
Change internal function of a package [duplicate],13,"15,012",2,['packages'],29/08/12,13:14:01Z,Roland,98.1k,,,,,,,,
Handling character strings in R - 'Word formatted' lists,0,100,1,"['regex', 'plyr']",29/08/12,12:53:59Z,Paulo E. Cardoso,"4,361",,,,,,,,
Storing an arbitrary R object onto HDD?,5,87,1,[],29/08/12,12:22:40Z,NA,0,,,,,,,,
Using source() in a loop to automatically load up my functions?,6,895,6,[],29/08/12,11:59:10Z,NA,0,,,,,,,,
knitr: How to prevent text wrapping in output?,41,"17,975",1,['knitr'],29/08/12,10:52:54Z,susjoh,975,,,,,,,,
How to replace lower/upper triangular elements of a matrix?,2,"7,385",2,[],29/08/12,10:45:03Z,user1632895,33,,,,,,,,
control of title parameters of a plot in R,5,"1,705",1,['plot'],29/08/12,10:43:30Z,Santi XGR,93,,,,,,,,
How do i assign the reqOpenorder (from IBrokers package) results to a matrix?,1,471,1,['ibrokers'],29/08/12,10:32:31Z,user1632849,6,,,,,,,,
Handling different vector lengths caused by na.omit in sapply?,0,301,1,"['apply', 'na']",29/08/12,10:20:34Z,Matt Bannert,13.5k,,,,,,,,
Adding symbols to dendrogram leaves in R,2,"1,323",1,"['plot', 'key', 'symbol', 'dendrogram']",29/08/12,08:35:02Z,Elizabeth,"2,376",,,,,,,,
plotting 2 axis figure in R pdf version loses right hand axis label,1,611,1,"['pdf', 'plot']",29/08/12,07:32:09Z,ma-d,21,,,,,,,,
Run function in data frames within list,1,330,1,['object'],29/08/12,07:01:15Z,dmvianna,"6,526",,,,,,,,
How to replace indices with actual values?,1,130,1,[],29/08/12,05:36:17Z,Abe Miessler,52.7k,,,,,,,,
source a function from example() in R,1,945,1,"['markdown', 'pair', 'knitr']",29/08/12,03:49:48Z,Zoë Clark,767,,,,,,,,
Why isn't my histogram showing the number 9?,-1,184,2,[],29/08/12,02:56:53Z,Abe Miessler,52.7k,,,,,,,,
R concentrating data frame,1,184,3,"['for-loop', 'dataframe', 'iteration']",29/08/12,02:40:26Z,NA,0,,,,,,,,
Only list objects in class data.frame [duplicate],1,726,1,"['class', 'object']",29/08/12,02:31:16Z,dmvianna,"6,526",,,,,,,,
"(R, Blotter) How to change color of trade markers on the chart when using chart.Posn() API?",3,945,0,"['quantmod', 'blotter']",29/08/12,01:54:10Z,Atrad,45,,,,,,,,
How do I extract ecdf values out of ecdfplot(),3,"6,018",2,"['extract', 'extraction', 'lattice', 'ecdf']",29/08/12,00:49:36Z,Druss2k,102,,,,,,,,
Drawing a barplot for a range of values containing positive and negative numbers,3,"1,124",1,[],29/08/12,00:17:29Z,Munish,377,,,,,,,,
ggplot2 - fail to apply color with scale_fill_manual inside a loop [closed],5,"1,465",1,"['loops', 'ggplot2']",29/08/12,00:16:13Z,Paulo E. Cardoso,"4,361",,,,,,,,
download from web,0,242,2,[],28/08/12,23:46:43Z,Dd Pp,"1,462",,,,,,,,
Assign names to variable using regular expression in R,1,524,1,['regex'],28/08/12,23:25:23Z,dmvianna,"6,526",,,,,,,,
How to modify the distances returned by knn in R?,0,464,1,[],28/08/12,23:05:54Z,Abe Miessler,52.7k,,,,,,,,
Pass underscore in knitr R code,5,"2,086",1,"['knitr', 'underscores']",28/08/12,22:44:39Z,Jim Crozier,638,,,,,,,,
How can I get the intensity for a specific break in R?,0,38,1,[],28/08/12,21:28:00Z,Abe Miessler,52.7k,,,,,,,,
How do I convert dates in this format to a date class in R?,2,392,3,['date'],28/08/12,20:51:03Z,Maiasaura,17.2k,,,,,,,,
Garbage collection com object in R,3,189,1,"['com', 'garbage-collection']",28/08/12,20:31:53Z,abhisarihan,106,,,,,,,,
Ambiguous variation of default environment in `getClasses()` (standard function vs. formal S4 method),3,202,1,"['class', 'default-value', 's4', 'lexical-scope']",28/08/12,19:57:44Z,Rappster,"5,415",,,,,,,,
adjust the scale in ggplot [duplicate],3,"3,917",1,['ggplot2'],28/08/12,19:38:44Z,user1471980,"3,838",,,,,,,,
R - list all global variables,3,"6,164",3,[],28/08/12,19:29:58Z,NA,0,,,,,,,,
R - character string with week-Year: week is lost when converting to Date format,5,"3,543",2,"['datetime', 'string-formatting']",28/08/12,18:30:02Z,zzk,296,,,,,,,,
"Quickly view an R data.frame, vector, or data.table in Excel",14,"3,337",7,"['dataframe', 'data.table']",28/08/12,18:00:15Z,geneorama,"1,614",,,,,,,,
period.apply in xts returning more than 1 value,3,"1,391",1,"['time-series', 'xts', 'zoo']",28/08/12,17:35:33Z,Alex,"7,940",,,,,,,,
logarithmic values of a input file,-1,54,1,[],28/08/12,17:15:52Z,Justin Carrey,"1,028",,,,,,,,
Assigning individuals to an income quantile,3,"3,455",2,[],28/08/12,15:31:57Z,Timothy Alston,505,,,,,,,,
Possible to print more than 100 rows of a data.table?,41,"24,804",5,"['printing', 'data.table', 'options', 'output-formatting']",28/08/12,15:31:50Z,geneorama,"1,614",,,,,,,,
clustering the count values,3,403,1,"['cluster-analysis', 'heatmap']",28/08/12,15:16:46Z,learner,942,,,,,,,,
Appending column to a data frame - R,3,"1,626",2,['dataframe'],28/08/12,15:03:42Z,name_masked,"3,987",,,,,,,,
Using pROC package in R to obtain CI for SP and SN from specific threshold,2,998,1,['roc'],28/08/12,15:01:57Z,ahj,46,,,,,,,,
R Sweave output error,7,"3,842",1,['sweave'],28/08/12,14:59:04Z,Fernando,"5,167",,,,,,,,
How to elegantly convert datetime from decimal to “%d.%m.%y %H:%M:%S”?,7,"2,313",2,"['date', 'split']",28/08/12,14:52:56Z,Strohmi,298,,,,,,,,
Formatting histogram x-axis when working with dates using R,10,"13,970",2,"['date', 'histogram']",28/08/12,14:10:52Z,Jonny,"1,009",,,,,,,,
Pretty-printing of character strings (ensuring automatic line-breaks to stay within a given print margin),6,"2,630",1,"['string', 'pretty-print']",28/08/12,13:54:10Z,Rappster,"5,415",,,,,,,,
Setting up Stat-ET Sweave for the first time,1,192,1,"['eclipse', 'sweave', 'statet']",28/08/12,13:39:53Z,Joanne Demmler,728,,,,,,,,
Saving a plot using Hebrew (or UTF-8) encoding for text in pdf/svg devices in R?,5,"1,123",2,"['encoding', 'utf-8', 'svg', 'hebrew']",28/08/12,12:08:56Z,Tal Galili,11.4k,,,,,,,,
T test to find differentially expressed genes in R,-2,743,1,[],28/08/12,11:59:00Z,Stacey John,66,,,,,,,,
Accessing the attributes of a file connection created via file(),10,874,2,"['file', 'connection-string', 'file-connection']",28/08/12,11:38:02Z,Rappster,"5,415",,,,,,,,
ggmap doesn't show maps,9,"5,967",5,"['ggplot2', 'ggmap']",28/08/12,10:22:34Z,Timror,660,,,,,,,,
apply a function separately on each element of a list,1,"7,965",1,['for-loop'],28/08/12,10:03:04Z,jeff6868,79,,,,,,,,
Combine Voronoi polygons and maps,14,"4,133",1,"['spatial', 'polygons']",28/08/12,09:34:02Z,Maciej,"2,180",,,,,,,,
Interpreting residual value statement in lm() summary [closed],0,"5,417",1,['linear-regression'],28/08/12,09:23:55Z,Nisarg,16,,,,,,,,
R- get a single column from many columns,-1,"2,104",1,[],28/08/12,07:41:51Z,user1629515,1,,,,,,,,
How to view the nearest neighbors in R?,15,"15,305",1,['kaggle'],28/08/12,05:27:01Z,Abe Miessler,52.7k,,,,,,,,
Where are files written to in R?,1,151,2,[],28/08/12,04:04:53Z,Abe Miessler,52.7k,,,,,,,,
RODBC read error where excel column contains leading NAs,3,265,1,"['excel', 'rodbc']",28/08/12,03:34:43Z,ricardo,"3,748",,,,,,,,
How to avoid error in textmatrix function in R's LSA package,1,609,1,"['kaggle', 'lsa']",28/08/12,01:46:52Z,user141146,"1,550",,,,,,,,
Deleting specific rows in a data frame,4,621,1,['dataframe'],28/08/12,00:40:19Z,histelheim,"1,492",,,,,,,,
"R, htmlTreeParse and xpathSApply",1,"5,338",1,['html-parsing'],27/08/12,23:49:32Z,user1486507,340,,,,,,,,
missing value when calculating running medians?,4,"1,823",2,['missing-data'],27/08/12,22:54:51Z,Farrel,"4,804",,,,,,,,
Simulate stochastic bipartite network based on trait values of species - in R,3,219,1,['phylogeny'],27/08/12,22:46:57Z,sckott,"3,844",,,,,,,,
using data.table to speed up rollapply,6,"3,822",2,"['dataframe', 'data.table', 'apply', 'xts']",27/08/12,22:27:01Z,h.l.m,"4,219",,,,,,,,
gofstat results: AD and KS tests,0,"1,906",0,[],27/08/12,22:26:28Z,jpcgandre,749,,,,,,,,
Yield Curve package R,2,"2,724",1,[],27/08/12,22:14:17Z,valid90,15,,,,,,,,
Daylight savings time in lubridate,5,"1,482",1,['time-series'],27/08/12,21:29:12Z,Ringold,128,,,,,,,,
Changing the Color of negative numbers to Red in a table generated with xtable()?,15,"3,609",2,"['knitr', 'xtable']",27/08/12,20:00:43Z,Sam,"1,822",,,,,,,,
Replacing rows in R,3,127,1,"['comments', 'rscript']",27/08/12,19:45:11Z,by0,"5,418",,,,,,,,
reorder columns based on values in a particular row.,5,"5,195",2,['order'],27/08/12,18:21:19Z,learner,942,,,,,,,,
Are there any R package repository management tools?,16,618,1,"['repository', 'package', 'cran']",27/08/12,17:49:43Z,Erik Shilts,"2,733",,,,,,,,
Plot time series and image in R so that x axis labels line up perfectly,2,"1,162",4,"['image', 'plot']",27/08/12,17:01:41Z,glossarch,132,,,,,,,,
how can I normalize data frame values by the sum (get percents),4,"5,420",3,"['dataframe', 'aggregate', 'data.table']",27/08/12,16:06:00Z,SkyWalker,"5,188",,,,,,,,
Error with specifyModel,1,342,1,"['time-series', 'xts', 'quantmod']",27/08/12,12:49:29Z,marino89,299,,,,,,,,
Affymetrix Custom CDF segmentation fault,2,207,2,['bioconductor'],27/08/12,12:09:11Z,Federico Giorgi,"5,184",,,,,,,,
Error: gdal-config not found,39,"32,763",6,"['linux', 'installation', 'gdal']",27/08/12,11:51:07Z,Aquarius_Girl,"6,889",,,,,,,,
Object reassignment inside functions in R,0,135,3,[],27/08/12,11:00:14Z,geotheory,"8,921",,,,,,,,
Is there a _fast_ way to run a rolling regression inside data.table?,7,"4,295",2,"['data.table', 'zoo']",27/08/12,10:06:06Z,ricardo,"3,748",,,,,,,,
Add variables whilst ignoring NA`s using transform function,4,"4,709",2,[],27/08/12,09:32:31Z,Timothy Alston,505,,,,,,,,
Aggregating the date fields in R,0,97,2,['aggregate'],27/08/12,07:38:22Z,AliCivil,851,,,,,,,,
Overall correlation in ggpairs with colour grouping?,11,"2,034",1,"['graphics', 'ggplot2']",27/08/12,07:09:49Z,naught101,"9,623",,,,,,,,
Efficient subsetting in R using 2 dataframes,4,350,4,['performance'],27/08/12,06:33:10Z,Generalenthu,45,,,,,,,,
Sequence of varying increments with R?,5,"1,731",2,['sequence'],27/08/12,04:29:43Z,Hendy,"4,013",,,,,,,,
Character values on a continuous axis in R ggplot2,4,"1,490",1,"['axes', 'ggplot2']",27/08/12,04:04:30Z,Glen,752,,,,,,,,
How to stop graphical device window cutting off edges of plot()?,6,"12,480",1,['plot'],27/08/12,03:39:51Z,NA,0,,,,,,,,
identify groups of linked episodes which chain together,5,"1,399",3,"['grouping', 'identifier', 'linkage']",27/08/12,03:38:02Z,thelatemail,66.3k,,,,,,,,
How to open working directory directly from R console?,10,"5,365",2,[],27/08/12,02:52:40Z,NA,0,,,,,,,,
Finding the last transaction for each id,1,127,1,[],27/08/12,02:47:00Z,AliCivil,851,,,,,,,,
Errors in segmented package: breakpoints confusion,5,"4,310",2,['linear-regression'],27/08/12,01:42:17Z,a different ben,"1,715",,,,,,,,
forecasting arima in R,-1,"1,261",1,"['time-series', 'forecasting']",27/08/12,00:21:06Z,Bob,"2,592",,,,,,,,
time series “forecast” R package from C++,1,587,1,"['c++', 'time-series']",27/08/12,00:18:51Z,Bob,"2,592",,,,,,,,
optimize (simple) loop for renaming inside list,0,414,1,"['list', 'loops', 'indexing']",26/08/12,22:07:05Z,Eric Fail,"3,647",,,,,,,,
ggplot2: highlight chart area,6,"3,027",1,"['ggplot2', 'xts', 'quantmod']",26/08/12,20:56:31Z,user1234440,"4,907",,,,,,,,
R - plotting multiple rasters using matrix layout,5,"3,034",1,"['layout', 'matrix', 'plot', 'raster']",26/08/12,20:50:22Z,David Roberts,327,,,,,,,,
create a list of variables in R for use in formula [duplicate],1,"2,975",1,['regression'],26/08/12,19:21:54Z,Roah,143,,,,,,,,
Modify Text Legend ggplot2,1,"1,428",1,"['ggplot2', 'legend']",26/08/12,17:17:40Z,Glen,752,,,,,,,,
automatic non-equidistant breaks in ggplot2,3,735,1,['ggplot2'],26/08/12,17:04:39Z,Seb,"2,967",,,,,,,,
Editing column names of a CSV file in R,0,"1,136",2,"['csv', 'data-manipulation']",26/08/12,17:04:00Z,histelheim,"1,492",,,,,,,,
Working with merged column headers in Excel [duplicate],2,"1,281",1,['excel'],26/08/12,16:48:52Z,Romit,13,,,,,,,,
Cutting a CSV file up into different columns using R,1,377,1,"['csv', 'data-manipulation', 'traminer']",26/08/12,16:18:15Z,histelheim,"1,492",,,,,,,,
R expand.grid() function in Python,26,"7,760",7,['python'],26/08/12,14:24:14Z,Stéphane Laurent,12.1k,,,,,,,,
building an R loop for random sampling,2,"8,632",2,"['loops', 'text', 'sample']",26/08/12,12:29:06Z,user964689,357,,,,,,,,
R: Multiple lattice levelplots from matrices,5,"1,693",1,"['matrix', 'lattice', 'levelplot']",26/08/12,12:05:02Z,ipoga,334,,,,,,,,
fixing multiple node coordinates when carring out clustering algorithm in igraph,3,"1,316",2,['igraph'],26/08/12,10:20:06Z,Buthetleon,343,,,,,,,,
sample from given distribution,-1,"1,034",1,"['text', 'random', 'distribution']",26/08/12,09:26:42Z,user964689,357,,,,,,,,
Moving the cursor in Mac OS X (in Python and/or R),1,643,2,"['python', 'macos']",26/08/12,02:16:56Z,rezakhorshidi,490,,,,,,,,
Find the max date in a single column across multiple rows,13,"25,087",6,['date'],26/08/12,02:16:29Z,AliCivil,851,,,,,,,,
